,position,country,name,club,boots,age,height,ACL
0,Goalkeeper,Australia,A. Faulkner,,,29,172,0
1,Defender,-,A. J. DeLaGarza,,Nike Phantom GX 2 Elite,36,175,0
2,Forward,Mali,A. Keita,,Nike Mercurial Superfly 9 Elite,29,178,0
3,Midfielder,Côte d'Ivoire,A. Razak,,Nike Tiempo Legend 10 Elite,30,180,0
4,Defender,United States,A.J. Soares,,Nike Tiempo Legend 10 Elite,35,183,0
5,Midfielder,Spain,Aarón,,Nike Mercurial Superfly 9 Elite,35,170,0
6,Goalkeeper,Gabon,Aaron Boupendza,,,28,180,0
7,Forward,Ireland,Aaron Connolly,,adidas X Crazyfast Elite,24,174,0
8,Defender,England,Aaron Cresswell,West Ham United,adidas F50 Elite LL,34,170,0
9,Goalkeeper,Spain,Aarón Escandell,,Nike Mercurial Vapor 15 Elite,28,184,0
10,Defender,Scotland,Aaron Hickey,Brentford FC,adidas X Speedportal.1,22,185,0
11,Defender,Northern Ireland,Aaron Hughes,,,44,183,0
12,Midfielder,Germany,Aaron Hunt,,Mizuno Rebula 3,38,183,0
13,Defender,France,Aaron Kamardin,,Nike Mercurial Superfly VII Elite,22,183,0
14,Forward,England,Aaron Lennon,,Nike Mercurial Vapor 14 Elite,37,165,0
15,Forward,Belgium,Aaron Leya Iseka,,adidas X Crazyfast Elite,26,182,0
16,Defender,United States,Aaron Long,,adidas X Crazyfast Elite,31,186,0
17,Defender,Spain,Aarón Martín,Genoa CFC,Puma Future 7 Ultimate,27,178,0
18,Midfielder,Australia,Aaron Mooy,,Nike Tiempo Legend 10 Elite,33,174,0
19,Forward,Nigeria,Aaron Olanare,,Nike Mercurial Superfly 9 Elite,30,189,0
20,Forward,Germany,Aaron Opoku,,adidas X 18+,25,185,0
21,Goalkeeper,England,Aaron Ramsdale,Southampton,adidas Predator Elite FT,26,190,0
22,Midfielder,Wales,Aaron Ramsey,Cardiff City,adidas Predator Elite LL,33,178,0
23,Midfielder,England,Aaron Ramsey,Burnley,adidas X Crazyfast Elite,21,181,0
24,Forward,Germany,Aaron Seydel,,Puma Future Ultimate,28,199,0
25,Midfielder,England,Aaron Tshibola,,adidas Predator 19+,29,190,0
26,Defender,England,Aaron Wan-Bissaka,West Ham United,adidas F50 Elite LL,26,183,0
27,Forward,England,Aaron Wilbraham,,Nike Tiempo Legend 10 Elite,44,191,0
28,Midfielder,Germany,Aaron Zehnter,SC Paderborn 07,,19,180,0
29,Midfielder,Morocco,Aatif Chahechouhe,,Nike Mercurial Vapor 15 Elite,38,176,0
30,Defender,-,Abakar Sylla,RC Strasbourg Alsace,adidas X Crazyfast Elite,21,188,0
